major,course_code,course_number,rec_sem,year
Computer Science,ENGR,102,1,2025
Computer Science,MATH,151,1,2025
Computer Science,CHEM,107,1,2025
Computer Science,CHEM,117,1,2025
Computer Science,ENGL,104,1,2025
Computer Science,UCC Elective,1,1,2025
Computer Science,ENGR,216,2,2025
Computer Science,PHYS,206,2,2025
Computer Science,MATH,152,2,2025
Computer Science,CHEM,120,2,2025
Computer Science,UCC Elective,2,2,2025
Computer Science,CSCE,120,3,2025
Computer Science,CSCE,222,3,2025
Computer Science,CSCE,181,3,2025
Computer Science,MATH,304,3,2025
Computer Science,Science Elective,1,3,2025
Computer Science,General Elective,1,3,2025
Computer Science,CSCE,221,4,2025
Computer Science,CSCE,312,4,2025
Computer Science,CSCE,314,4,2025
Computer Science,Emphasis Area Elective,1,4,2025
Computer Science,ENGL,210,4,2025
Computer Science,CSCE,313,5,2025
Computer Science,CSCE,331,5,2025
Computer Science,STAT,211,5,2025
Computer Science,Emphasis Area Elective,2,5,2025
Computer Science,UCC Elective,4,5,2025
Computer Science,CSCE,411,6,2025
Computer Science,CSCE,481,6,2025
Computer Science,MATH,251,6,2025
Computer Science,Computer Science Elective,1,6,2025
Computer Science,Computer Science Elective,2,6,2025
Computer Science,Science Elective,2,6,2025
Computer Science,CSCE,399,6,2025
Computer Science,Computer Science Elective,3,7,2025
Computer Science,Computer Science Elective,4,7,2025
Computer Science,Computer Science Elective,5,7,2025
Computer Science,UCC Elective,5,7,2025
Computer Science,Emphasis Area Elective,3,7,2025
Computer Science,CSCE,482,8,2025
Computer Science,Computer Science Elective,6,8,2025
Computer Science,UCC Elective,6,8,2025
Computer Science,UCC Elective,7,8,2025
Computer Science,Emphasis Area Elective,4,8,2025
