ccode,cnumber,description,
ACCT,209,"Survey of Accounting Principles. (3-0). Credit 3. Accounting survey for non-business majors; non-technical accounting procedures, preparation and interpretation of financial statements and internal control. May not be used to satisfy degree requirements for majors in business. Business majors who choose to take this course must do so on a satisfactory/unsatisfactory basis.",
ACCT,210,"Survey of Managerial and Cost Accounting Principles. (3-0). Credit 3. A survey of managerial and cost accounting for non-business majors; accounting responsibility of the manager, job and process cost systems, budgeting, cost-volume-profit analysis for decision-making. May not be used to satisfy degree requirements for majors in business. Business majors who choose to take this course must do so on a satisfactory/unsatisfactory basis. Prerequisite: ACCT 209 or ACCT 229.",
ACCT,229,"(ACCT 2301, 2401) Introductory Accounting. (3-0). Credit 3. Analysis, recording and reporting of business transactions; partnership and corporation accounting; analysis and use of financial statements. Prerequisite: Business, Agribusiness, and Maritime Business Administration majors; also taught at Galveston campus.",
ACCT,229,"(ACCT 2301, 2401) Introductory Accounting. (3-0). Credit 3. Analysis, recording and reporting of business transactions; partnership and corporation accounting; analysis and use of financial statements. Prerequisite: Business, Agribusiness, and Maritime Business Administration majors; also taught at Galveston campus.",
ACCT,321,"Professional Development Seminar. (2-0). Credit 2. Exposure to professional issues of professional accounting practice using a workshop format. Prerequisite: Admission to Professional Program.",
ACCT,322,"Professional Development Seminar – BBA. (1-0). Credit 1. Exposure to professional issues in the practice of accounting, including potential careers and employers. Prerequisite: Accounting major or approval of instructor.",
ACCT,327,"Financial Reporting I. (3-0). Credit 3. Study of theoretical basis for financial accounting concepts and principles related to financial reporting; emphasizing income measurement and accounting for assets. BBA accounting majors must earn a minimum grade of C for graduation. Prerequisite: Grade of C or higher in ACCT 229; grade of D or higher in ACCT 230; admission to upper division in Mays Business School.",
ACCT,328,"Financial Reporting II. (3-0). Credit 3. Continued study of accounting concepts and principles related to reporting long-debt and owners equity; including reporting issues of leases, retirement benefits, income taxes and international accounting standards. Prerequisite: ACCT 327 with a grade of C or better.",
ACCT,329,"Cost Management and Analysis. (3-0). Credit 3. Theory, concepts and methods relating to use of information and design of systems to aid managers in planning, controlling, decision making, evaluating performance and reporting financial results. Prerequisite: ACCT 315 or ACCT 327 with a grade of C or better.",
ACCT,405,"Income Tax. (3-0). Credit 3. Introduction to federal income tax legislation pertaining primarily to corporations and individuals. Prerequisite: ACCT 327 with a grade of C or better.",
