ccode,cnumber,cname,credit_hours,lecture_hours,lab_hours,description,prereqs,
ACCT,209,SURVEY OF ACCT PRIN,3,null,null,null,null,
ACCT,210,MGRL & COST ACCT PRIN,3,null,null,null,null,
ACCT,229,INTRO ACCOUNTING,3,null,null,null,null,
ACCT,230,INTRO ACCOUNTING,3,null,null,null,null,
ACCT,321,PROF DEVELOPMENT SEMINAR,2,null,null,null,null,
ACCT,327,FINANCIAL REPORTING I,3,null,null,null,null,
ACCT,328,FINANCIAL REPORTING II,3,null,null,null,null,
ACCT,329,COST MGMT & ANALYSIS,3,null,null,null,null,
ACCT,329,COST MGMT & ANALYSIS,3,null,null,null,null,
ACCT,405,INCOME TAX,3,null,null,null,null,
ACCT,407,AUDITING,3,null,null,null,null,
ACCT,421,CRITICAL COMM ACCT,2,null,null,null,null,
ACCT,427,ACCT & FIN INFO SYSTEMS,3,null,null,null,null,
ACCT,450,ACCOUNTING ETHICS,3,null,null,null,null,
ACCT,484,ACCOUNTING INTERNSHIP:IN-AB,3,null,null,null,null,
ACCT,484,ACCOUNTING INTERNSHIP,0,null,null,null,null,
ACCT,603,ENERGY ACCOUNTING,3,null,null,null,null,
ACCT,628,BUS APPLICATION MODELING,3,null,null,null,null,
ACCT,628,BUS APPLICATION MODELING,3,null,null,null,null,
ACCT,629,CONTROLS AUDIT TECH,3,null,null,null,null,
ACCT,640,ACCT CON & PROCEDURE I,3,null,null,null,null,
ACCT,640,ACCT CON & PROCEDURE I,3,null,null,null,null,
ACCT,647,FINANCIAL STMNT ANALYSIS,3,null,null,null,null,
ACCT,650,ACCOUNTING ETHICS,3,null,null,null,null,
ACCT,684,PROFESSIONAL INTERNSHIP: IN-AB,3,null,null,null,null,
ACCT,691,RESEARCH,1,null,null,null,null,
ACCT,691,RESEARCH,6,null,null,null,null,
AEGD,600,CLINICAL DENTISTRY I,0,null,null,null,null,
AEGD,606,ADV REMOVABLE PROSTHODONTICS,1.5,null,null,null,null,
AEGD,608,ADV CLINICAL PERIODONTICS,1.5,null,null,null,null,
AEGD,615,TRTMT PLANNING CONFERENCE I,1.5,null,null,null,null,
AEGD,618,CURRENT LITERATURE REVIEW I,1.5,null,null,null,null,
AERO,222,INTRO AERO COMPUTATION,3,null,null,null,null,
AERO,222,INTRO AERO COMPUTATION,3,null,null,null,null,
AERO,291,RESEARCH,0,null,null,null,null,
AERO,299,MID-CURR PROF DEVELOPMENT,0,null,null,null,null,
AERO,303,HIGH SPEED AERODYN,3,null,null,null,null,
AERO,303,HIGH SPEED AERODYN,3,null,null,null,null,
AERO,413,AERO MATERIALS SCIENCE,3,null,null,null,null,
AERO,413,AERO MATERIALS SCIENCE,3,null,null,null,null,
AERO,485,DIRECTED STUDIES,3,null,null,null,null,
AERO,684,PROFESSIONAL INTERNSHIP,1,null,null,null,null,
AERO,684,PROFESSIONAL INTERNSHIP: IN-AB,1,null,null,null,null,
AERO,684,PROFESSIONAL INTERNSHIP: IN-AB,1,null,null,null,null,
AERO,684,PROFESSIONAL INTERNSHIP:IN-AB,1,null,null,null,null,
AERO,685,DIRECTED STUDIES,1,null,null,null,null,
AERO,685,DIRECTED STUDIES,1,null,null,null,null,
AERO,685,DIRECTED STUDIES,1,null,null,null,null,
AERO,685,DIRECTED STUDIES,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH: IN-AB,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
AERO,691,RESEARCH,1,null,null,null,null,
