ccode,cnumber,prereqs,
ACCT,209,null,
ACCT,210, ACCT 209 w/Min Grade D or ACCT 229 w/Min Grade D,
ACCT,229,null,
ACCT,229,null,
ACCT,321,null,
ACCT,322,null,
ACCT,327, ACCT 229 w/Min Grade C and ACCT 230 w/Min Grade D,
ACCT,328, ACCT 327 w/Min Grade C,
ACCT,329, ACCT 315 w/Min Grade C or ACCT 327 w/Min Grade C,
ACCT,405, ACCT 327 w/Min Grade C,
ACCT,407, ACCT 327 w/Min Grade C,
ACCT,408, ACCT 427 w/Min Grade C,
ACCT,410, ACCT 327 w/Min Grade C,
ACCT,427, ACCT 229 w/Min Grade C,
ACCT,445, ACCT 315 w/Min Grade D or ACCT 327 w/Min Grade D and ( FINC 341 w/Min Grade D ),
ACCT,450, ACCT 427 w/Min Grade D,
ACCT,484,null,
ACCT,489,null,
ACCT,607,null,
ACCT,640,null,
ACCT,644,null,
ACCT,646,null,
ACCT,647,null,
ACCT,657,null,
ACCT,660,null,
ACCT,677,null,
ACCT,680,null,
ACCT,684,null,
ACCT,685,null,
ACCT,688,null,
ACCT,691,null,
AEGD,602,null,
AEGD,604,null,
AEGD,607,null,
AEGD,617,null,
AEGD,620,null,
AEGD,626,null,
AEGD,689,null,
AERO,201, ENGR 102 w/Min Grade C and PHYS 206 w/Min Grade C and ( ENGR 216 w/Min Grade C or PHYS 216 w/Min Grade C ) and ( MATH 251 w/Min Grade C (concurrency) or MATH 253 w/Min Grade C (concurrency) ),
AERO,201, ENGR 102 w/Min Grade C and PHYS 206 w/Min Grade C and ( ENGR 216 w/Min Grade C or PHYS 216 w/Min Grade C ) and ( MATH 251 w/Min Grade C (concurrency) or MATH 253 w/Min Grade C (concurrency) ),
AERO,211, ENGR 102 w/Min Grade C and PHYS 206 w/Min Grade C and ( PHYS 216 w/Min Grade C or ENGR 216 w/Min Grade C ) and ( MATH 251 w/Min Grade C (concurrency) or MATH 253 w/Min Grade C (concurrency) ),
AERO,211, ENGR 102 w/Min Grade C and PHYS 206 w/Min Grade C and ( PHYS 216 w/Min Grade C or ENGR 216 w/Min Grade C ) and ( MATH 251 w/Min Grade C (concurrency) or MATH 253 w/Min Grade C (concurrency) ),
AERO,212, ( CHEM 107 w/Min Grade C and CHEM 117 w/Min Grade C ) or CHEM 120 w/Min Grade C and ( MATH 251 w/Min Grade C (concurrency) or MATH 253 w/Min Grade C (concurrency) ),
AERO,212, ( CHEM 107 w/Min Grade C and CHEM 117 w/Min Grade C ) or CHEM 120 w/Min Grade C and ( MATH 251 w/Min Grade C (concurrency) or MATH 253 w/Min Grade C (concurrency) ),
AERO,214, AERO 211 w/Min Grade C and MATH 308 w/Min Grade C (concurrency),
AERO,214, AERO 211 w/Min Grade C and MATH 308 w/Min Grade C (concurrency),
AERO,222, ENGR 102 w/Min Grade C and MATH 308 w/Min Grade C (concurrency),
AERO,222, ENGR 102 w/Min Grade C and MATH 308 w/Min Grade C (concurrency),
AERO,299,null,
