ccode,cnumber,crn,
ACCT,209,56508,
ACCT,209,10001,
ACCT,210,14103,
ACCT,210,47045,
ACCT,229,10003,
ACCT,229,27382,
ACCT,229,34562,
ACCT,229,10004,
ACCT,229,10005,
ACCT,229,10006,
ACCT,229,24413,
ACCT,229,10007,
ACCT,229,34563,
ACCT,229,34564,
ACCT,229,34565,
ACCT,229,34566,
ACCT,229,50396,
ACCT,229,52754,
ACCT,229,54438,
ACCT,229,54847,
ACCT,230,10010,
ACCT,230,10012,
ACCT,230,10013,
ACCT,321,10016,
ACCT,322,21666,
ACCT,327,34568,
ACCT,327,16673,
ACCT,327,16674,
ACCT,327,10017,
ACCT,327,10018,
ACCT,327,23830,
ACCT,327,23831,
ACCT,327,32793,
ACCT,327,35599,
ACCT,327,42711,
ACCT,327,47391,
ACCT,327,54439,
ACCT,327,54440,
ACCT,328,10019,
ACCT,328,10020,
ACCT,328,47366,
ACCT,328,26523,
ACCT,328,26524,
ACCT,328,26525,
ACCT,328,38571,
ACCT,328,38572,
ACCT,328,47367,
ACCT,328,47368,
ACCT,329,15758,
ACCT,405,10021,
ACCT,405,10022,
ACCT,405,25065,
ACCT,405,10024,
ACCT,405,10025,
ACCT,405,42214,
ACCT,407,12542,
ACCT,407,12543,
ACCT,408,42901,
ACCT,410,10028,
ACCT,427,10029,
ACCT,427,10030,
ACCT,427,10031,
ACCT,427,23832,
ACCT,427,21516,
ACCT,427,42712,
ACCT,445,47664,
ACCT,450,10037,
ACCT,450,27390,
ACCT,450,54846,
ACCT,484,57241,
ACCT,489,53807,
ACCT,489,53826,
ACCT,489,53836,
ACCT,602,51275,
ACCT,605,51276,
ACCT,607,50395,
ACCT,608,47940,
ACCT,640,43945,
ACCT,640,32038,
ACCT,640,34571,
ACCT,644,10042,
ACCT,644,10043,
ACCT,646,47547,
ACCT,647,34569,
ACCT,647,10045,
ACCT,647,10046,
ACCT,647,34570,
ACCT,647,56849,
ACCT,650,10047,
ACCT,650,27858,
ACCT,650,54845,
ACCT,657,54838,
ACCT,657,54839,
ACCT,657,54840,
ACCT,657,54841,
ACCT,657,54842,
ACCT,657,54843,
ACCT,657,56850,
ACCT,660,10048,
ACCT,677,54844,
ACCT,680,23833,
ACCT,680,23834,
ACCT,684,13513,
ACCT,685,13514,
ACCT,685,16400,
ACCT,688,25765,
ACCT,688,48113,
ACCT,691,13809,
AEGD,602,31069,
AEGD,604,31992,
AEGD,607,49270,
AEGD,617,31070,
AEGD,620,31071,
AEGD,626,47393,
AEGD,689,55056,
AERO,201,21046,
AERO,201,21047,
AERO,211,47465,
AERO,211,38651,
AERO,212,37973,
AERO,212,10049,
AERO,214,14107,
AERO,214,21687,
AERO,214,34253,
AERO,214,34254,
AERO,214,41796,
AERO,214,42437,
AERO,214,42438,
AERO,214,42439,
AERO,214,42862,
AERO,214,47780,
AERO,222,37981,
AERO,222,37977,
AERO,222,37978,
AERO,222,37979,
AERO,222,37980,
AERO,222,41797,
AERO,222,41865,
AERO,299,39368,
AERO,301,46965,
AERO,301,10051,
AERO,301,47379,
AERO,303,10052,
AERO,303,10053,
AERO,304,46955,
AERO,304,10054,
AERO,306,10055,
AERO,306,24367,
AERO,307,38410,
AERO,307,38411,
AERO,307,38412,
AERO,307,38413,
AERO,307,42440,
AERO,307,52740,
AERO,307,52741,
AERO,310,38432,
AERO,321,24368,
AERO,321,21048,
AERO,321,30562,
AERO,351,10057,
AERO,351,50382,
AERO,401,43183,
AERO,402,30564,
AERO,402,10058,
AERO,402,10059,
AERO,402,47503,
AERO,402,38147,
AERO,402,42562,
AERO,402,50390,
AERO,402,41788,
AERO,402,50392,
AERO,402,54875,
AERO,402,51383,
AERO,404,51334,
AERO,413,27421,
AERO,414,54878,
AERO,415,48254,
AERO,422,56181,
AERO,422,38415,
AERO,423,24812,
AERO,423,21686,
AERO,424,56016,
AERO,430,24734,
AERO,436,54747,
AERO,451,44955,
AERO,451,38420,
AERO,452,24814,
AERO,452,41794,
AERO,452,50379,
AERO,478,54881,
AERO,489,54328,
AERO,489,55726,
AERO,491,26105,
AERO,491,26107,
AERO,491,30067,
AERO,491,25604,
AERO,491,37314,
AERO,491,23271,
AERO,491,57104,
AERO,491,37184,
AERO,491,25857,
AERO,602,34265,
AERO,602,40580,
AERO,614,54879,
AERO,614,54741,
AERO,615,48253,
AERO,617,54742,
AERO,623,27422,
AERO,623,49786,
AERO,630,54745,
AERO,632,48738,
AERO,636,55119,
AERO,636,54748,
AERO,643,55634,
AERO,651,26263,
AERO,651,50926,
AERO,651,48702,
AERO,666,56054,
AERO,670,54972,
AERO,678,54882,
AERO,678,54883,
AERO,681,24410,
AERO,681,10061,
AERO,685,22679,
AERO,685,52861,
AERO,685,37166,
AERO,685,48912,
AERO,685,40312,
AERO,685,44083,
AERO,685,29285,
AERO,685,44270,
AERO,685,37115,
AERO,689,55569,
AERO,689,55570,
AERO,689,55880,
AERO,689,55881,
AERO,689,55568,
AERO,691,28963,
AERO,691,26156,
AERO,691,28964,
AERO,691,13633,
AERO,691,13634,
AERO,691,19105,
AERO,691,13635,
AERO,691,13636,
AERO,691,13637,
AERO,691,13638,
AERO,691,19107,
AERO,691,29096,
AERO,691,29097,
AERO,691,13641,
AERO,691,14606,
AERO,691,19108,
AERO,691,13642,
AERO,691,14095,
AERO,691,13643,
AERO,691,13644,
AERO,691,36171,
AERO,691,13645,
AERO,691,13646,
AERO,691,13647,
AERO,691,13648,
AERO,691,13649,
AERO,691,13651,
AERO,691,13650,
AERO,691,15770,
AERO,691,17744,
AERO,691,39853,
AERO,691,22412,
AERO,691,23302,
AERO,691,25375,
AERO,691,36741,
AERO,691,40089,
AERO,691,57269,
AERO,691,44987,
AERS,102,42906,
AERS,102,10063,
AERS,102,10064,
AERS,102,10065,
AERS,102,10066,
AERS,102,15215,
AERS,102,15216,
AERS,102,15217,
AERS,102,16603,
AERS,102,42918,
AERS,106,10067,
AERS,106,10068,
AERS,202,10070,
AERS,202,10071,
AERS,202,10072,
AERS,202,15218,
AERS,202,15219,
AERS,304,10074,
AERS,304,10076,
AERS,304,33958,
AERS,404,10077,
AERS,404,10079,
AERS,404,18665,
AERS,485,42908,
AFST,201,42504,
AFST,201,42505,
AFST,261,49431,
AFST,301,53553,
AFST,325,53707,
AFST,327,41349,
AFST,352,54316,
AFST,377,53554,
AFST,379,54235,
AFST,601,49434,
AFST,685,56935,
AGCJ,105,14528,
AGCJ,105,23335,
AGCJ,281,28264,
AGCJ,301,53664,
AGCJ,306,53663,
AGCJ,307,50110,
AGCJ,311,50151,
AGCJ,312,34536,
AGCJ,313,18734,
AGCJ,313,18735,
AGCJ,314,18736,
AGCJ,314,19493,
AGCJ,404,50109,
AGCJ,405,10081,
AGCJ,408,50137,
AGCJ,481,32857,
AGCJ,485,21683,
AGCJ,485,16191,
AGCJ,485,13995,
AGCJ,491,30911,
AGCJ,494,10083,
AGCJ,494,21688,
AGEC,105,10085,
AGEC,105,12549,
AGEC,105,12550,
AGEC,105,23410,
AGEC,117,37991,
AGEC,117,47711,
AGEC,216,31135,
AGEC,217,12565,
AGEC,217,12566,
AGEC,217,12567,
AGEC,217,36975,
AGEC,223,56931,
AGEC,223,53779,
AGEC,285,56996,
AGEC,314,30932,
AGEC,314,30933,
AGEC,314,18018,
AGEC,314,51357,
AGEC,315,10087,
AGEC,315,10088,
AGEC,316,30936,
AGEC,317,18019,
AGEC,317,18020,
AGEC,317,29017,
AGEC,317,10089,
AGEC,317,10090,
AGEC,317,25547,
AGEC,317,32396,
AGEC,324,55851,
AGEC,324,41935,
AGEC,324,55852,
AGEC,324,27325,
AGEC,325,45968,
AGEC,325,56017,
AGEC,330,39087,
AGEC,330,37992,
AGEC,330,51358,
AGEC,340,48919,
AGEC,340,10093,
AGEC,340,56014,
AGEC,340,44467,
AGEC,344,10095,
AGEC,344,12576,
AGEC,350,14654,
AGEC,350,10096,
AGEC,350,12578,
AGEC,414,15862,
AGEC,415,16768,
AGEC,416,49246,
AGEC,420,30578,
AGEC,420,51359,
AGEC,422,34927,
AGEC,423,53875,
AGEC,425,28338,
AGEC,425,28339,
AGEC,425,28340,
AGEC,429,12581,
AGEC,429,12582,
AGEC,429,40644,
AGEC,430,19525,
AGEC,430,10099,
AGEC,430,56020,
AGEC,431,12583,
AGEC,432,43878,
AGEC,434,51360,
AGEC,440,10100,
AGEC,447,56210,
AGEC,448,10101,
AGEC,453,30549,
AGEC,481,28358,
AGEC,481,50947,
AGEC,484,29581,
AGEC,485,18565,
AGEC,485,23028,
AGEC,485,20349,
AGEC,485,53108,
AGEC,489,53776,
AGEC,489,56504,
AGEC,491,23263,
AGEC,491,29660,
AGEC,491,33066,
AGEC,491,20159,
AGEC,491,19972,
AGEC,491,56888,
AGEC,495,43926,
AGEC,601,10103,
AGEC,604,10105,
AGEC,605,43879,
AGEC,606,51352,
AGEC,607,10107,
AGEC,620,30577,
AGEC,622,10108,
AGEC,625,10109,
AGEC,634,56002,
AGEC,641,38608,
AGEC,642,27328,
AGEC,662,38176,
AGEC,676,15298,
AGEC,677,31774,
AGEC,684,16772,
AGEC,685,22870,
AGEC,685,24781,
AGEC,685,29812,
AGEC,685,16473,
AGEC,685,20289,
AGEC,685,18340,
AGEC,689,54701,
AGEC,689,57082,
AGEC,691,13852,
AGEC,691,20157,
AGEC,691,13948,
AGEC,691,25311,
AGEC,691,14883,
AGEC,691,19994,
AGEC,691,25312,
AGEC,691,25746,
AGEC,691,39867,
AGEC,691,39892,
AGEC,691,13969,
AGEC,691,53047,
AGEC,691,53048,
AGEC,691,53049,
AGEC,691,53050,
AGEC,691,16485,
AGEC,691,15110,
AGEC,691,14884,
AGEC,691,13987,
AGEC,691,20142,
AGEC,691,13899,
AGEC,691,14100,
AGEC,691,14009,
AGEC,691,20186,
AGEC,691,13903,
AGEC,691,20426,
AGEC,691,23097,
AGEC,693,20001,
AGEC,693,20037,
AGLS,101,10113,
AGLS,225,53023,
AGLS,301,56481,
AGLS,489,56152,
AGLS,489,54401,
AGLS,492,39767,
AGLS,492,47542,
AGSC,302,38070,
AGSC,305,45895,
AGSC,373,20653,
AGSC,383,10116,
AGSC,425,10117,
AGSC,436,36215,
AGSC,481,17606,
AGSC,484,16146,
AGSM,105,41442,
AGSM,201,53570,
AGSM,201,10120,
AGSM,201,10122,
AGSM,301,55849,
AGSM,310,10125,
AGSM,310,10126,
AGSM,315,56514,
AGSM,315,10127,
AGSM,315,10128,
AGSM,325,10129,
AGSM,325,10130,
AGSM,325,10131,
AGSM,337,49254,
AGSM,360,33698,
AGSM,360,49256,
AGSM,440,45195,
ALEC,350,47414,
ALEC,370,50119,
ALEC,371,50120,
ALEC,377,50118,
ALEC,399,36296,
ALEC,399,52933,
ALEC,399,57101,
ALEC,412,38080,
ALEC,412,19606,
ALEC,425,26528,
ALEC,460,56231,
ALEC,473,55116,
ALEC,485,57106,
ALEC,485,48757,
ALEC,485,53037,
ALEC,485,19894,
ALEC,485,56844,
ALEC,491,19890,
ALEC,491,57107,
ALEC,609,53659,
ALEC,610,45900,
ALEC,610,45901,
ALEC,612,15228,
ALEC,612,14113,
ALEC,615,35002,
ALEC,622,45903,
ALEC,625,45899,
ALEC,630,54329,
ALEC,630,54237,
ALEC,631,37999,
ALEC,640,41927,
ALEC,640,41926,
ALEC,671,50113,
ALEC,671,50114,
ALEC,677,50435,
ALEC,677,50115,
ALEC,681,15233,
ALEC,684,25665,
ALEC,684,18310,
ALEC,685,18311,
ALEC,685,33069,
ALEC,685,25669,
ALEC,685,25671,
