ccode,cnumber,cname,credit_hours,lecture_hours,lab_hours,description,prereqs,
ACCT,209,SURVEY OF ACCT PRIN,3,null,null,null,null,
ACCT,210,MGRL & COST ACCT PRIN,3,null,null,null,null,
ACCT,229,INTRO ACCOUNTING,3,null,null,null,null,
ACCT,230,INTRO ACCOUNTING,3,null,null,null,null,
ACCT,321,PROF DEVELOPMENT SEMINAR,2,null,null,null,null,
ACCT,322,PROF DEVELOPMENT BBA,1,null,null,null,null,
ACCT,327,FINANCIAL REPORTING I,3,null,null,null,null,
ACCT,328,FINANCIAL REPORTING II,3,null,null,null,null,
ACCT,329,COST MGMT & ANALYSIS,3,null,null,null,null,
ACCT,405,INCOME TAX,3,null,null,null,null,
ACCT,407,AUDITING,3,null,null,null,null,
ACCT,408,INTERNAL AUDITING,3,null,null,null,null,
ACCT,410,FRAUD EXAMINATION,3,null,null,null,null,
ACCT,427,ACCT & FIN INFO SYSTEMS,3,null,null,null,null,
ACCT,445,INTERNATIONAL ACCT,3,null,null,null,null,
ACCT,450,ACCOUNTING ETHICS,3,null,null,null,null,
ACCT,484,ACCOUNTING INTERNSHIP,0,null,null,null,null,
ACCT,489,SPTP: BUSINESS COMM IN ACCT,2,null,null,null,null,
ACCT,602,FINANCIAL REPORTING II,3,null,null,null,null,
ACCT,605,INCOME TAX,3,null,null,null,null,
ACCT,607,SEMINAR IN AUDITING,3,null,null,null,null,
ACCT,608,INTERNAL AUDITING,3,null,null,null,null,
ACCT,640,ACCT CON & PROCEDURE I,3,null,null,null,null,
ACCT,644,CONTROL AUDIT INFO SYSTM,3,null,null,null,null,
ACCT,646,INTERNATIONAL ACCOUNTING,3,null,null,null,null,
ACCT,647,FINANCIAL STMNT ANALYSIS,3,null,null,null,null,
ACCT,650,ACCOUNTING ETHICS,3,null,null,null,null,
ACCT,657,ACCT DATA ANALYTICS,3,null,null,null,null,
ACCT,660,ACCT INFO & FINC MKTS,3,null,null,null,null,
ACCT,677,CFOS & FINANCIAL LEADERSHIP,3,null,null,null,null,
ACCT,680,TAX RESEARCH & POLICY,3,null,null,null,null,
ACCT,684,PROF INTERNSHIP,3,null,null,null,null,
ACCT,685,DIRECTED STUDIES,3,null,null,null,null,
ACCT,688,DOCTORAL SEMINAR,3,null,null,null,null,
ACCT,691,RESEARCH,1,null,null,null,null,
AEGD,602,CLINICAL DENTISTRY III,0,null,null,null,null,
AEGD,604,PRACTICE MANAGEMENT I,1.5,null,null,null,null,
AEGD,607,ADV FIXED PROSTHODONTICS,1.5,null,null,null,null,
AEGD,617,TRTMT PLANNING CONFERENCE III,1.5,null,null,null,null,
AEGD,620,CURRENT LITERATURE REVIEW III,1.5,null,null,null,null,
AEGD,626,ADV REST DENT DIGITAL TECH,0,null,null,null,null,
AEGD,689,SPTP: ADV CLINICAL ENDO II,1,null,null,null,null,
AERO,201,INTRO TO FLIGHT,3,null,null,null,null,
AERO,211,AERO ENGR MECHANICS,3,null,null,null,null,
AERO,212,INTRO TO AEROTHERMODYNM,3,null,null,null,null,
AERO,214,INTRO AERO MECH OF MATLS,3,null,null,null,null,
AERO,222,INTRO AERO COMPUTATION,3,null,null,null,null,
AERO,299,MID-CURR PROF DEVELOPMENT,0,null,null,null,null,
AERO,301,THEORETICAL AERODYN,3,null,null,null,null,
AERO,303,HIGH SPEED AERODYN,3,null,null,null,null,
AERO,304,AERO STRUCTURAL ANALYS I,3,null,null,null,null,
AERO,306,AERO STRUCTURAL ANALY II,3,null,null,null,null,
AERO,307,AERO ENGR LAB,3,null,null,null,null,
AERO,310,AEROSPACE DYNAMICS,3,null,null,null,null,
AERO,321,DYN OF AERO VEHICLES,3,null,null,null,null,
AERO,351,AEROTHERMO PROPULSION,3,null,null,null,null,
AERO,401,AERO DESIGN PRINCIPLES,3,null,null,null,null,
AERO,402,AERO SYSTEMS DESIGN,2,null,null,null,null,
AERO,404,MECH ADV AERO STRUCTURES,3,null,null,null,null,
AERO,413,AERO MATERIALS SCIENCE,3,null,null,null,null,
AERO,414,HUMAN PERF AERO ENVIRONMENTS,3,null,null,null,null,
AERO,415,COMP FLUID DYN AERO APPS,3,null,null,null,null,
AERO,422,ACT CONTR FOR AERO VEH,3,null,null,null,null,
AERO,423,ORBITAL MECHANICS,3,null,null,null,null,
AERO,424,SPACECRAFT ATT DYN CNTRL,3,null,null,null,null,
AERO,430,NUMERICAL SIMULATION,3,null,null,null,null,
AERO,436,HUMAN FACTORS ENGR AERO DESIGN,3,null,null,null,null,
AERO,451,HUMAN SPACEFLIGHT OPERATAT,3,null,null,null,null,
AERO,452,EAT TRANS VISC FLOWS,3,null,null,null,null,
AERO,478,LOW TEMP PLASMA,3,null,null,null,null,
AERO,489,SPTP: AIRCRAFT DESIGN,3,null,null,null,null,
AERO,491,RESEARCH,0,null,null,null,null,
AERO,602,THEORY OF FLUID MECH,3,null,null,null,null,
AERO,614,HUMAN PERF AERO ENVIRONMENTS,3,null,null,null,null,
AERO,615,COMP FLUID DYNAMICS AERO APPL,3,null,null,null,null,
AERO,617,MICROMECHANICS,3,null,null,null,null,
