course_ccode,course_cnumber,prereq_ccode,prereq_cnumber,equi_id
ACCT,210,ACCT,209,1,
ACCT,210,ACCT,229,1,
ACCT,327,ACCT,229,1,
ACCT,327,ACCT,230,2,
ACCT,328,ACCT,327,1,
ACCT,329,ACCT,315,1,
ACCT,329,ACCT,327,1,
ACCT,405,ACCT,327,1,
ACCT,407,ACCT,327,1,
ACCT,408,ACCT,427,1,
ACCT,410,ACCT,327,1,
ACCT,427,ACCT,229,1,
ACCT,445,ACCT,315,1,
ACCT,445,ACCT,327,1,
ACCT,445,FINC,341,2,
ACCT,450,ACCT,427,1,
AERO,201,ENGR,102,1,
AERO,201,PHYS,206,2,
AERO,201,ENGR,216,3,
AERO,201,PHYS,216,3,
AERO,201,MATH,251,4,
AERO,201,MATH,253,4,
AERO,211,ENGR,102,1,
AERO,211,PHYS,206,2,
AERO,211,PHYS,216,3,
AERO,211,ENGR,216,3,
AERO,211,MATH,251,4,
AERO,211,MATH,253,4,
AERO,212,CHEM,107,1,
AERO,212,CHEM,117,2,
AERO,212,CHEM,120,2,
AERO,212,MATH,251,3,
AERO,212,MATH,253,3,
AERO,214,AERO,211,1,
AERO,214,MATH,308,2,
AERO,222,ENGR,102,1,
AERO,222,MATH,308,2,
AERO,301,AERO,201,1,
AERO,301,AERO,212,2,
AERO,301,AERO,222,3,
AERO,301,MATH,308,4,
AERO,303,AERO,301,1,
AERO,304,AERO,214,1,
AERO,304,MATH,308,2,
AERO,304,AERO,222,3,
AERO,304,AERO,220,3,
AERO,306,AERO,304,1,
AERO,307,ENGL,104,1,
AERO,307,ENGL,103,1,
AERO,307,AERO,222,2,
AERO,307,AERO,301,3,
AERO,307,AERO,304,4,
AERO,307,AERO,310,5,
AERO,307,ECEN,215,6,
AERO,310,AERO,211,1,
AERO,310,MATH,308,2,
AERO,310,AERO,222,3,
AERO,310,AERO,220,3,
AERO,321,AERO,301,1,
AERO,321,AERO,310,2,
AERO,351,AERO,303,1,
AERO,401,AERO,306,1,
AERO,401,AERO,307,2,
AERO,401,AERO,321,3,
AERO,401,AERO,351,4,
AERO,402,AERO,306,1,
AERO,402,AERO,307,2,
AERO,402,AERO,321,3,
AERO,402,AERO,351,4,
AERO,402,AERO,401,5,
AERO,404,AERO,304,1,
AERO,413,AERO,304,1,
AERO,414,AERO,321,1,
AERO,415,AERO,303,1,
AERO,415,AERO,351,2,
AERO,422,AERO,321,1,
AERO,423,AERO,310,1,
AERO,424,AERO,321,1,
AERO,430,AERO,222,1,
AERO,430,MATH,417,1,
AERO,451,AERO,310,1,
AERO,452,AERO,303,1,
AERO,452,AERO,351,2,
AERO,478,AERO,303,1,
AERO,478,MATH,308,2,
AERO,670,AERO,640,1,
AERS,102,AERS,101,1,
AERS,102,AERS,106,2,
AERS,304,AERS,303,1,
AERS,404,AERS,403,1,
AFST,379,ENGL,203,1,
AFST,379,ENGL,202,1,
AFST,379,ENGL,206,1,
AFST,379,HISP,362,1,
AFST,379,ENGL,212,1,
AFST,379,ENGL,219,1,
AFST,379,ENGL,227,1,
AFST,379,ENGL,228,1,
AFST,379,ENGL,204,1,
AFST,379,AFST,204,1,
AFST,379,ENGL,205,1,
AFST,379,AFST,205,1,
AFST,379,ENGL,221,1,
AFST,379,MODL,221,1,
AFST,379,ENGL,222,1,
AFST,379,MODL,222,1,
AFST,379,ENGL,303,1,
AFST,379,ENGL,312,1,
AFST,379,ENGL,313,1,
AFST,379,ENGL,314,1,
AFST,379,ENGL,315,1,
AFST,379,ENGL,316,1,
AFST,379,ENGL,317,1,
AFST,379,ENGL,321,1,
AFST,379,ENGL,322,1,
AFST,379,ENGL,323,1,
AFST,379,ENGL,330,1,
AFST,379,ENGL,331,1,
AFST,379,ENGL,334,1,
AFST,379,ENGL,335,1,
AFST,379,ENGL,336,1,
AFST,379,ENGL,337,1,
AFST,379,ENGL,338,1,
AFST,379,ENGL,340,1,
AFST,379,ENGL,350,1,
AFST,379,ENGL,352,1,
AFST,379,ENGL,357,1,
AFST,379,ENGL,360,1,
AFST,379,ENGL,361,1,
AFST,379,ENGL,372,1,
AFST,379,ENGL,373,1,
AFST,379,ENGL,375,1,
AFST,379,ENGL,376,1,
AFST,379,ENGL,377,1,
AFST,379,ENGL,378,1,
AFST,379,ENGL,390,1,
AFST,379,ENGL,394,1,
AFST,379,ENGL,396,1,
AFST,379,ENGL,356,1,
AFST,379,FILM,356,1,
AFST,379,ENGL,365,1,
AFST,379,RELS,360,1,
AFST,379,ENGL,329,1,
AFST,379,AFST,329,1,
AFST,379,ENGL,392,1,
AFST,379,RELS,392,1,
AFST,379,ENGL,339,1,
AFST,379,AFST,339,1,
AFST,379,ENGL,393,1,
AFST,379,AFST,393,1,
AFST,379,ENGL,333,1,
AFST,379,WGST,333,1,
AFST,379,ENGL,374,1,
AFST,379,WGST,374,1,
AFST,379,ENGL,362,1,
AFST,379,ENGL,305,1,
AFST,379,ENGL,231,1,
AFST,379,ENGL,232,1,
AFST,379,ENGL,391,1,
AFST,379,ENGL,306,1,
AFST,379,ENGL,292,1,
AFST,379,ENGL,343,1,
AFST,379,ENGL,395,1,
AGCJ,281,AGCJ,105,1,
AGCJ,301,AGCJ,105,1,
AGCJ,301,AGCJ,281,2,
AGCJ,306,AGCJ,105,1,
AGCJ,311,AGCJ,105,1,
AGCJ,311,AGCJ,281,2,
AGCJ,312,AGCJ,105,1,
AGCJ,313,AGCJ,105,1,
AGCJ,313,AGCJ,312,2,
AGCJ,314,AGCJ,312,1,
AGCJ,314,AGCJ,313,2,
AGCJ,404,AGCJ,313,1,
AGCJ,405,AGCJ,312,1,
AGCJ,405,AGCJ,313,2,
AGCJ,408,AGCJ,313,1,
AGCJ,481,AGCJ,314,1,
AGEC,117,AGEC,105,1,
AGEC,117,ECON,202,1,
AGEC,117,ECON,203,1,
AGEC,117,ENGL,103,2,
AGEC,117,ENGL,104,2,
AGEC,217,AGEC,105,1,
AGEC,217,AGEC,117,2,
AGEC,217,MATH,141,3,
AGEC,217,MATH,168,3,
AGEC,217,MATH,140,3,
AGEC,217,MATH,142,4,
AGEC,285,AGEC,105,1,
AGEC,314,AGEC,105,1,
AGEC,314,ECON,202,1,
AGEC,314,ECON,203,1,
AGEC,316,AGEC,315,1,
AGEC,317,AGEC,217,1,
AGEC,317,ECON,323,2,
AGEC,317,BUSN,203,3,
AGEC,317,SCMT,303,3,
AGEC,317,STAT,301,3,
AGEC,317,STAT,302,3,
AGEC,317,STAT,303,3,
AGEC,324,AGEC,105,1,
AGEC,324,ECON,202,1,
AGEC,324,ACCT,229,2,
AGEC,324,ACCT,209,2,
AGEC,325,AGEC,105,1,
AGEC,325,ECON,202,1,
AGEC,330,AGEC,105,1,
AGEC,330,ECON,202,1,
AGEC,330,ECON,203,1,
AGEC,330,ACCT,209,2,
AGEC,330,ACCT,229,2,
AGEC,340,AGEC,105,1,
AGEC,340,ECON,202,1,
AGEC,340,ECON,203,1,
AGEC,414,AGEC,317,1,
AGEC,414,MKTG,321,2,
AGEC,415,AGEC,314,1,
AGEC,415,MKTG,321,1,
AGEC,415,MKTG,409,1,
AGEC,415,AGEC,315,2,
AGEC,416,AGEC,315,1,
AGEC,420,AGEC,105,1,
